Model Task,Model,Accuracy,Precision,Recall,F1,ROC_AUC,CV_Accuracy_Mean,CV_Accuracy_Std,CV_F1_Mean,CV_F1_Std,CV_Recall_Mean,CV_ROC_AUC_Mean,CV_ROC_AUC_Std
High-value POS record classification,Random Forest,0.792,,,0.7860082304526749,0.8894355577422309,0.7824,0.008662563131083094,0.7752955885506393,0.010443589620597896,,0.880304115290061,0.005462778098996635
High-value POS record classification,Logistic Regression,0.773,,,0.7628004179728317,0.8810035240140961,0.7767999999999999,0.007166589146867573,0.7677896632623236,0.007099802259010765,,0.8737072940515762,0.004303707530971149
High-value POS record classification,Dummy Baseline,0.501,,,0.0,0.5,0.5006,0.000489897948556636,0.0,0.0,,0.5,0.0
Full-staffing demand classification,Logistic Regression,0.6204954954954955,0.3761261261261261,0.73568281938326,0.4977645305514158,0.6588635560857599,,,0.4159574588443024,,0.5874006297330887,0.6644700915898234,
Full-staffing demand classification,Random Forest,0.6081081081081081,0.368763557483731,0.748898678414097,0.4941860465116279,0.667574160096503,,,0.4717938278610364,,0.7169622274928965,0.6679010358655114,
Full-staffing demand classification,Dummy Baseline,0.7443693693693694,0.0,0.0,0.0,0.5,,,0.0,,0.0,0.5,
